participant,soa,prime_direction,mask_direction,congruent,answer,rt,accuracy
001,0.0625,right,right,TRUE,right,0.7314674999997806,TRUE
001,0.0625,right,left,FALSE,right,1.094327400000111,TRUE
001,0.0125,left,left,TRUE,left,0.919916099999682,TRUE
001,0.0375,right,left,FALSE,right,0.8379750000003696,TRUE
001,0.0375,left,left,TRUE,left,1.0201351999994586,TRUE
001,0.0125,right,left,FALSE,left,0.4449862999999823,FALSE
001,0.075,right,right,TRUE,left,1.1220750000002226,FALSE
001,0.025,left,left,TRUE,left,1.6652075000001787,TRUE
001,0.0625,right,left,FALSE,right,0.5911835999995674,TRUE
001,0.05,right,right,TRUE,left,0.9742116999996142,FALSE
001,0.0125,right,left,FALSE,right,1.090994199999841,TRUE
001,0.0625,right,right,TRUE,left,0.9819869000002655,FALSE
001,0.075,right,left,FALSE,right,0.9336293000005753,TRUE
001,0.05,left,left,TRUE,left,0.931700400000409,TRUE
001,0.0625,left,right,FALSE,right,1.0932622999998785,FALSE
001,0.0625,right,left,FALSE,left,1.6280617999991591,FALSE
001,0.025,left,right,FALSE,left,0.6129688000000897,TRUE
001,0.0375,right,left,FALSE,right,1.1418381999992562,TRUE
001,0.05,left,left,TRUE,right,1.1331151000003956,FALSE
001,0.0375,right,right,TRUE,right,1.8397796999997809,TRUE
001,0.0375,right,right,TRUE,left,1.0656544000003123,FALSE
001,0.0125,right,right,TRUE,right,0.8851237999997466,TRUE
001,0.0125,left,right,FALSE,right,1.3281435999997484,FALSE
001,0.025,left,left,TRUE,left,1.0972579999997834,TRUE
001,0.025,left,left,TRUE,left,1.2762344000002486,TRUE
001,0.0125,left,left,TRUE,left,1.146023399999649,TRUE
001,0.0375,right,left,FALSE,right,0.9648490999998103,TRUE
001,0.0625,left,right,FALSE,left,1.0461528999994698,TRUE
001,0.0375,right,left,FALSE,left,1.2083400999999867,FALSE
001,0.025,left,right,FALSE,right,0.5122606000004453,FALSE
001,0.025,right,left,FALSE,left,1.0887641999997868,FALSE
001,0.05,left,left,TRUE,left,1.2937447000003885,TRUE
001,0.0125,right,left,FALSE,left,1.483544400000028,FALSE
001,0.0375,left,left,TRUE,left,2.1412950999992972,TRUE
001,0.0125,right,left,FALSE,left,1.1415015000002313,FALSE
001,0.075,right,right,TRUE,right,1.7660971999994217,TRUE
001,0.0625,left,left,TRUE,left,0.9041597999994337,TRUE
001,0.025,right,left,FALSE,left,1.055153899999823,FALSE
001,0.025,right,left,FALSE,left,0.6276332999996157,FALSE
001,0.0625,left,left,TRUE,left,0.5305533000000651,TRUE
001,0.025,left,right,FALSE,right,1.0941892000000735,FALSE
001,0.0125,left,left,TRUE,left,0.3543485000000146,TRUE
001,0.025,left,left,TRUE,left,0.5259141000005911,TRUE
001,0.0375,left,left,TRUE,right,0.33301620000020193,FALSE
001,0.0125,left,right,FALSE,right,1.2243633999996746,FALSE
001,0.075,right,left,FALSE,right,1.0558302999997977,TRUE
