participant,soa,prime_presence,answer,rt,accuracy
001,0.0625,absent,absent,1.0735735999996905,TRUE
001,0.0375,present,present,0.30841529999997874,TRUE
001,0.075,present,present,0.8291101999998318,TRUE
001,0.025,present,absent,0.2752820000000611,FALSE
001,0.05,absent,absent,0.2733775000001515,TRUE
001,0.0125,present,present,0.8034865999998146,TRUE
001,0.025,absent,absent,0.21034319999989748,TRUE
001,0.05,present,present,0.6759544999999889,TRUE
001,0.0125,present,absent,0.3403140999998868,FALSE
001,0.025,absent,absent,0.16525640000008934,TRUE
001,0.0625,absent,absent,0.037180699999680655,TRUE
001,0.025,present,present,0.3554871000001185,TRUE
001,0.05,present,present,0.25774879999971745,TRUE
001,0.05,absent,absent,0.22801819999995132,TRUE
001,0.075,present,present,0.3539857999999185,TRUE
001,0.0375,present,present,0.2093937999998161,TRUE
001,0.0375,present,absent,0.19699790000004214,FALSE
001,0.0375,present,absent,0.21098940000001676,FALSE
001,0.075,present,present,0.24186090000011973,TRUE
001,0.0375,present,absent,0.2426237999998193,FALSE
001,0.025,present,present,0.06539019999991069,TRUE
001,0.0625,absent,absent,0.5953506999999263,TRUE
001,0.075,absent,absent,0.06591930000013235,TRUE
001,0.0375,present,present,0.11585739999964062,TRUE
001,0.075,absent,absent,0.25848229999974137,TRUE
001,0.05,present,present,0.636519700000008,TRUE
001,0.0625,absent,absent,0.2762364999998681,TRUE
001,0.0625,present,present,0.9484984000000622,TRUE
001,0.025,present,absent,0.11500369999976101,FALSE
001,0.0625,present,present,1.6817685999999412,TRUE
001,0.0375,absent,absent,0.10018649999983609,TRUE
001,0.0625,present,present,0.1293126000000484,TRUE
001,0.075,absent,absent,0.41993860000002314,TRUE
001,0.025,present,present,0.2923488000001271,TRUE
001,0.0125,absent,absent,1.8416247000000112,TRUE
001,0.0625,absent,absent,0.3731785999998465,TRUE
001,0.025,present,present,0.22874049999973067,TRUE
001,0.075,present,present,0.09871010000006208,TRUE
001,0.075,absent,absent,0.9139461999998275,TRUE
001,0.05,present,present,1.588609400000223,TRUE
001,0.0625,present,present,1.7161622999997235,TRUE
001,0.0125,present,present,1.6659481000001506,TRUE
001,0.025,present,absent,0.34113680000018576,FALSE
001,0.025,absent,absent,0.4047252999998818,TRUE
001,0.0375,absent,absent,0.2771428000000924,TRUE
001,0.025,present,present,0.22575549999965006,TRUE
001,0.0125,present,present,0.4691992999996728,TRUE
001,0.05,absent,absent,0.16508929999963584,TRUE
001,0.025,present,present,0.2770429000001968,TRUE
001,0.0375,present,absent,0.3232944999999745,FALSE
001,0.05,present,present,0.37021480000021256,TRUE
001,0.0375,present,present,0.1151439999998729,TRUE
001,0.0125,present,present,0.3536159000000225,TRUE
001,0.0375,present,absent,0.738691199999721,FALSE
001,0.025,present,present,0.4035635000000184,TRUE
001,0.0375,present,absent,0.595458900000267,FALSE
001,0.05,present,present,0.17965239999966798,TRUE
001,0.05,present,absent,0.21178340000005846,FALSE
001,0.0625,present,present,0.29038660000014715,TRUE
001,0.075,present,present,0.32481400000006033,TRUE
001,0.0125,present,absent,0.3385404999999082,FALSE
001,0.0375,absent,present,0.5642941000000974,FALSE
001,0.075,present,present,0.4995213000001968,TRUE
001,0.0625,absent,absent,0.5475650000003043,TRUE
001,0.075,present,present,0.8977804999999535,TRUE
001,0.0625,present,present,0.6705276000002414,TRUE
001,0.05,absent,absent,1.2112539999998262,TRUE
001,0.05,present,present,0.4672547999998642,TRUE
001,0.025,absent,absent,0.2417052999999214,TRUE
001,0.025,present,present,0.30724670000017795,TRUE
001,0.075,present,present,0.17934349999995902,TRUE
001,0.075,present,present,1.177718299999924,TRUE
001,0.0375,present,absent,0.70703820000017,FALSE
001,0.05,present,present,1.3807389999997213,TRUE
001,0.075,present,present,2.2707682999998724,TRUE
001,0.025,absent,absent,0.6098202999996829,TRUE
001,0.075,present,present,2.165379799999755,TRUE
001,0.075,present,present,0.7082038000003195,TRUE
001,0.0125,present,absent,0.9325562999997601,FALSE
001,0.0625,absent,absent,0.28988040000012916,TRUE
001,0.0625,absent,absent,0.24295970000002853,TRUE
001,0.025,present,present,2.1312158999999156,TRUE
001,0.025,present,absent,1.3300809000002118,FALSE
001,0.0375,absent,present,0.6738836999998057,FALSE
001,0.0375,present,present,1.1874383999997917,TRUE
001,0.0375,absent,absent,0.21159850000003644,TRUE
001,0.025,present,present,0.19636179999997694,TRUE
001,0.0125,present,absent,0.25830790000009074,FALSE
001,0.0625,present,present,0.6383591999997407,TRUE
001,0.05,present,absent,0.4173899000002166,FALSE
001,0.075,absent,present,1.4267626000000746,FALSE
001,0.05,present,present,0.21103660000017044,TRUE
001,0.0375,absent,absent,0.22929590000012467,TRUE
001,0.0375,present,present,1.602889000000232,TRUE
001,0.075,absent,absent,0.22663039999997636,TRUE
001,0.075,present,present,0.5622196999997868,TRUE
001,0.0125,absent,absent,0.2101201000000401,TRUE
001,0.05,absent,absent,0.2443874999999025,TRUE
001,0.05,present,present,0.8834686000000147,TRUE
001,0.0125,present,absent,1.7298204999997324,FALSE
001,0.025,present,present,0.46840579999980037,TRUE
001,0.0625,present,present,0.27645380000012665,TRUE
001,0.0625,present,present,0.643377099999725,TRUE
001,0.0125,present,absent,0.5809116999998878,FALSE
001,0.05,absent,absent,0.2449701999998979,TRUE
001,0.025,present,present,0.24439399999982925,TRUE
001,0.0625,present,present,0.8176788999999189,TRUE
001,0.025,present,absent,0.35337470000013127,FALSE
001,0.05,present,present,0.38727300000027753,TRUE
001,0.025,present,absent,0.8183493999999882,FALSE
001,0.0625,present,present,0.42020370000000185,TRUE
001,0.025,present,absent,0.7889155000002575,FALSE
001,0.025,present,absent,0.27461040000025605,FALSE
001,0.075,present,present,0.7090467000002718,TRUE
001,0.0125,present,present,0.7339929999998276,TRUE
001,0.075,absent,absent,1.2651236000001518,TRUE
001,0.025,present,present,1.9413093000002846,TRUE
001,0.05,absent,absent,0.27462310000009893,TRUE
001,0.0125,absent,absent,0.229035599999861,TRUE
001,0.075,absent,absent,0.292786999999862,TRUE
001,0.025,present,absent,0.5966886999999588,FALSE
001,0.05,present,present,0.6931008999999904,TRUE
001,0.0375,present,present,0.5779113999997207,TRUE
001,0.0125,present,absent,2.0986338000002434,FALSE
001,0.0125,absent,absent,0.212492299999667,TRUE
001,0.05,present,present,0.24340339999980642,TRUE
001,0.0125,present,absent,0.4361873000002561,FALSE
001,0.05,present,present,0.2932687000002261,TRUE
001,0.0625,present,present,0.549023699999907,TRUE
001,0.075,present,present,0.3854508999997961,TRUE
001,0.0375,absent,absent,0.6914719000001242,TRUE
001,0.025,absent,absent,0.16367570000011256,TRUE
001,0.075,absent,absent,0.4679363000000194,TRUE
001,0.0625,absent,absent,1.8106580000003305,TRUE
001,0.075,present,present,1.1532109999998283,TRUE
001,0.05,present,present,0.7056833999999981,TRUE
001,0.05,present,present,0.2760739000000285,TRUE
001,0.025,absent,absent,0.2449624999999287,TRUE
001,0.0125,present,present,1.2415562000001046,TRUE
001,0.075,present,present,0.24153419999993275,TRUE
001,0.05,absent,absent,0.05180309999968813,TRUE
001,0.025,present,present,0.18114839999998367,TRUE
001,0.05,absent,absent,0.08519599999999627,TRUE
001,0.0625,absent,absent,0.9471407000000909,TRUE
001,0.0125,present,present,0.5456552999999076,TRUE
001,0.0625,absent,absent,0.26105360000019573,TRUE
001,0.075,present,present,0.09981379999999263,TRUE
001,0.0125,present,present,0.2582700999996632,TRUE
001,0.0375,present,present,0.03369359999987864,TRUE
001,0.0125,present,present,0.5955137999999351,TRUE
001,0.0625,absent,absent,0.09955110000009881,TRUE
001,0.0125,present,present,0.20936209999990751,TRUE
001,0.0125,absent,absent,1.3627873999998883,TRUE
001,0.0125,present,present,0.1945885999998609,TRUE
001,0.0375,absent,absent,1.2345429000001786,TRUE
001,0.0625,present,present,0.1468417999999474,TRUE
001,0.0625,present,present,0.9525684999998703,TRUE
001,0.0625,present,present,0.18002459999979692,TRUE
001,0.075,present,present,0.6406025999999656,TRUE
001,0.025,present,present,1.2681597000000693,TRUE
001,0.0375,absent,absent,0.27711039999985587,TRUE
001,0.075,present,present,0.27470720000019355,TRUE
001,0.0625,absent,absent,0.3222944999997708,TRUE
001,0.0375,present,absent,0.8780865999997332,FALSE
001,0.0625,absent,absent,0.8501003000001219,TRUE
001,0.075,absent,absent,1.6172803000004023,TRUE
001,0.05,present,present,0.2445201000000452,TRUE
001,0.025,absent,absent,0.4492783999999119,TRUE
001,0.0375,present,present,0.17733929999985776,TRUE
001,0.05,present,present,0.16360200000008263,TRUE
001,0.0375,present,absent,0.30554620000020805,FALSE
001,0.0625,present,present,1.810773099999551,TRUE
001,0.0375,present,present,0.7533300000000054,TRUE
001,0.0625,present,present,0.17888070000026346,TRUE
001,0.0625,present,present,0.38225809999994453,TRUE
001,0.0125,absent,absent,0.24283070000001317,TRUE
001,0.075,present,present,0.4993223000001308,TRUE
001,0.05,present,present,0.36964739999984886,TRUE
001,0.0375,present,present,0.3386382999997295,TRUE
001,0.0125,present,present,0.8683337000002211,TRUE
001,0.0125,absent,absent,0.1973611000003075,TRUE
001,0.0375,absent,absent,0.22544849999985672,TRUE
001,0.0125,present,present,0.4663814000000457,TRUE
001,0.025,absent,absent,0.1329513999999108,TRUE
001,0.075,present,present,0.2442415999998957,TRUE
001,0.0375,present,present,0.16218030000027284,TRUE
