participant,soa,prime_direction,mask_direction,congruent,answer,rt,accuracy
001,0.05,right,right,TRUE,right,0.4620057000001907,TRUE
001,0.05,left,right,FALSE,right,0.49349000000029264,TRUE
001,0.0375,right,left,FALSE,left,0.39817390000007435,TRUE
001,0.075,left,right,FALSE,right,0.34262699999999313,TRUE
001,0.05,left,left,TRUE,left,0.4202517999997326,TRUE
001,0.0125,left,left,TRUE,left,0.2894317999998748,TRUE
001,0.025,left,left,TRUE,left,0.2879129000002649,TRUE
001,0.0625,right,left,FALSE,left,0.3677342000000863,TRUE
001,0.0625,right,right,TRUE,right,0.3201456000001599,TRUE
001,0.0125,left,right,FALSE,right,0.3543758999999227,TRUE
001,0.025,right,right,TRUE,right,0.2857785999999578,TRUE
001,0.0625,left,left,TRUE,left,0.22655929999973523,TRUE
001,0.025,left,right,FALSE,right,0.3334912999998778,TRUE
001,0.05,right,left,FALSE,left,0.3332076000001507,TRUE
001,0.025,right,left,FALSE,left,0.3906416999998328,TRUE
001,0.0625,right,right,TRUE,right,0.3481482000001961,TRUE
001,0.025,right,left,FALSE,left,0.4966033000000607,TRUE
001,0.025,right,right,TRUE,right,0.3222373999997217,TRUE
001,0.075,right,left,FALSE,left,0.3371480999999221,TRUE
001,0.025,left,left,TRUE,left,0.38856059999989156,TRUE
001,0.025,right,left,FALSE,left,0.5000068999997893,TRUE
001,0.05,left,right,FALSE,right,0.46284120000018447,TRUE
001,0.0375,right,right,TRUE,right,0.40973780000012994,TRUE
001,0.0125,right,left,FALSE,left,0.3312490999996953,TRUE
001,0.05,left,right,FALSE,right,0.40216670000017984,TRUE
001,0.0125,right,right,TRUE,right,0.28212230000008276,TRUE
001,0.05,right,right,TRUE,right,0.23323649999974805,TRUE
001,0.0625,right,right,TRUE,right,0.4121258999998645,TRUE
001,0.075,left,left,TRUE,left,0.22167579999995723,TRUE
001,0.075,left,left,TRUE,left,0.23051729999997406,TRUE
001,0.05,right,left,FALSE,left,0.3976284000000305,TRUE
001,0.05,right,left,FALSE,left,0.3654778999998598,TRUE
001,0.0125,right,right,TRUE,right,0.5910946999997577,TRUE
001,0.075,left,left,TRUE,left,0.2461339000001317,TRUE
001,0.025,right,right,TRUE,right,0.3240259999997761,TRUE
001,0.0125,right,right,TRUE,right,0.3449275999996644,TRUE
001,0.075,right,right,TRUE,right,0.26024250000000393,TRUE
001,0.0125,right,left,FALSE,left,0.28087420000019847,TRUE
001,0.0375,right,right,TRUE,right,0.28314289999980247,TRUE
001,0.0125,right,left,FALSE,left,0.2529471999996531,TRUE
001,0.0125,left,left,TRUE,left,0.29601499999989755,TRUE
001,0.0125,left,left,TRUE,left,0.20336180000003878,TRUE
001,0.0625,left,left,TRUE,left,0.1619369000000006,TRUE
001,0.0625,left,right,FALSE,right,0.5896708000000217,TRUE
001,0.025,left,right,FALSE,right,0.3401364999999714,TRUE
001,0.075,left,left,TRUE,left,0.3639866000003167,TRUE
001,0.05,left,right,FALSE,right,0.37478920000012295,TRUE
001,0.0375,right,left,FALSE,left,0.4062752999998338,TRUE
001,0.05,right,left,FALSE,left,0.37036840000018856,TRUE
001,0.0375,left,right,FALSE,right,0.35798240000031,TRUE
001,0.0625,left,left,TRUE,left,0.4070496999997886,TRUE
001,0.0375,left,right,FALSE,right,0.3501535000000331,TRUE
001,0.0625,left,left,TRUE,left,0.1814632000000529,TRUE
001,0.075,right,left,FALSE,left,0.3908632000002399,TRUE
001,0.05,left,left,TRUE,left,0.22261390000039682,TRUE
001,0.0375,left,left,TRUE,left,0.22324090000029173,TRUE
001,0.0125,left,right,FALSE,right,0.38992410000037125,TRUE
001,0.0125,right,left,FALSE,left,0.3934970999998768,TRUE
001,0.075,right,right,TRUE,right,0.2558444999999665,TRUE
001,0.0375,right,right,TRUE,right,0.2787690999998631,TRUE
001,0.05,right,right,TRUE,right,0.2758971999996902,TRUE
001,0.0625,right,right,TRUE,right,0.22857410000005984,TRUE
001,0.0375,left,left,TRUE,left,0.34869609999987006,TRUE
001,0.0125,right,right,TRUE,right,0.4626186000000416,TRUE
001,0.025,right,left,FALSE,left,0.35606619999998657,TRUE
001,0.0375,right,left,FALSE,left,0.42357339999989563,TRUE
001,0.075,left,right,FALSE,right,0.3872863999999936,TRUE
001,0.025,left,left,TRUE,left,0.2648585000001731,TRUE
001,0.0625,right,left,FALSE,left,0.3503200000000106,TRUE
001,0.0625,right,left,FALSE,left,0.35474889999977677,TRUE
001,0.05,right,right,TRUE,right,0.28314129999989746,TRUE
001,0.0375,right,right,TRUE,right,0.2903331999996226,TRUE
001,0.0375,left,left,TRUE,left,0.40110120000008465,TRUE
001,0.0125,left,left,TRUE,left,0.3343947999996999,TRUE
001,0.0375,right,right,TRUE,right,0.29032290000031935,TRUE
001,0.025,left,left,TRUE,left,0.17938600000024962,TRUE
001,0.0125,left,left,TRUE,left,0.24715809999997873,TRUE
001,0.075,left,left,TRUE,left,0.22754669999994803,TRUE
001,0.0125,right,right,TRUE,right,0.3171913000001041,TRUE
001,0.05,right,right,TRUE,right,0.24820359999966968,TRUE
001,0.075,left,right,FALSE,right,0.3405169000002388,TRUE
001,0.0125,left,right,FALSE,right,0.27223289999983535,TRUE
001,0.0125,left,left,TRUE,left,0.26233989999991536,TRUE
001,0.0625,left,right,FALSE,right,0.36560380000037185,TRUE
001,0.075,left,right,FALSE,right,0.3900459999999839,TRUE
001,0.05,left,right,FALSE,right,0.35769500000014887,TRUE
001,0.0625,right,right,TRUE,right,0.2759731000001011,TRUE
001,0.0125,right,right,TRUE,right,0.302762199999961,TRUE
001,0.075,right,right,TRUE,right,0.18098039999995308,TRUE
001,0.025,left,left,TRUE,left,0.33963859999994384,TRUE
001,0.0625,left,left,TRUE,left,0.2695126999997228,TRUE
001,0.0375,right,right,TRUE,right,0.2916213000003154,TRUE
001,0.025,left,left,TRUE,left,0.3402907000004234,TRUE
001,0.0625,left,left,TRUE,left,0.26305749999983163,TRUE
001,0.0625,right,right,TRUE,right,0.26668530000006285,TRUE
001,0.0125,right,right,TRUE,right,0.3020800999997846,TRUE
001,0.075,left,left,TRUE,left,0.19107530000019324,TRUE
001,0.0375,right,left,FALSE,left,0.3976716000001943,TRUE
001,0.0625,right,left,FALSE,left,0.3587313999996695,TRUE
001,0.0625,left,right,FALSE,right,0.3031588999997439,TRUE
001,0.075,right,right,TRUE,right,0.21055539999997563,TRUE
001,0.0625,right,right,TRUE,right,0.28337920000012673,TRUE
001,0.075,left,left,TRUE,left,0.26401010000017777,TRUE
001,0.025,right,right,TRUE,right,0.31679299999996147,TRUE
001,0.0375,left,right,FALSE,right,0.3833568000000014,TRUE
001,0.025,left,right,FALSE,right,0.28423479999992196,TRUE
001,0.05,left,right,FALSE,right,0.3125169999998434,TRUE
001,0.0375,left,left,TRUE,left,0.27242670000032376,TRUE
001,0.025,right,right,TRUE,right,0.24585449999995035,TRUE
001,0.025,left,right,FALSE,right,0.3592259000001832,TRUE
001,0.0375,right,left,FALSE,left,0.360263500000201,TRUE
001,0.05,left,left,TRUE,left,0.2631341999999677,TRUE
001,0.025,left,left,TRUE,left,0.33519810000007055,TRUE
001,0.025,right,left,FALSE,left,0.29770549999966534,TRUE
001,0.025,right,right,TRUE,right,0.2857171999999082,TRUE
001,0.0375,left,right,FALSE,right,0.37349360000007437,TRUE
001,0.0625,right,left,FALSE,left,0.4255201000000852,TRUE
001,0.0125,right,left,FALSE,left,0.2599617999999282,TRUE
001,0.0125,right,right,TRUE,right,0.38025969999989684,TRUE
001,0.0625,left,right,FALSE,right,0.35154019999981756,TRUE
001,0.025,right,left,FALSE,left,0.3544712000002619,TRUE
001,0.0125,right,left,FALSE,left,0.2290275999998812,TRUE
001,0.0375,left,left,TRUE,left,0.3478353000000425,TRUE
001,0.0375,left,left,TRUE,left,0.2130536999998185,TRUE
001,0.075,left,right,FALSE,right,0.5440082000000075,TRUE
001,0.05,right,left,FALSE,left,0.5152513000002727,TRUE
001,0.05,right,right,TRUE,right,0.3323702000002413,TRUE
001,0.0625,left,left,TRUE,left,0.27799300000015137,TRUE
001,0.05,left,left,TRUE,left,0.26585660000000644,TRUE
001,0.05,right,left,FALSE,left,0.42845870000019204,TRUE
001,0.0375,right,right,TRUE,right,0.30650729999979376,TRUE
001,0.0625,left,left,TRUE,left,0.20899469999994835,TRUE
001,0.025,right,right,TRUE,right,0.3397451999999248,TRUE
001,0.0375,left,left,TRUE,left,0.30201809999971374,TRUE
001,0.075,left,left,TRUE,left,0.29976799999985815,TRUE
001,0.0125,right,left,FALSE,left,0.26127520000000004,TRUE
001,0.05,right,left,FALSE,left,0.40888989999984915,TRUE
001,0.075,right,left,FALSE,left,0.34252799999967465,TRUE
001,0.05,left,left,TRUE,left,0.21879820000003747,TRUE
001,0.0125,left,left,TRUE,left,0.291458799999873,TRUE
001,0.0125,left,right,FALSE,right,0.3623939999997674,TRUE
001,0.05,left,right,FALSE,right,0.4090160000000651,TRUE
001,0.075,right,right,TRUE,right,0.2558659000001171,TRUE
001,0.075,left,right,FALSE,right,0.3393079999996189,TRUE
001,0.05,left,right,FALSE,right,0.38845209999999497,TRUE
001,0.0625,right,left,FALSE,left,0.3398131999997531,TRUE
001,0.025,right,left,FALSE,left,0.3799159000000145,TRUE
001,0.0375,left,right,FALSE,right,0.44452179999962027,TRUE
